Indexes referenced by this run (116 total):
name                                                       size on disk  download size  path                                                                                                                                                     
beir-v1.0.0-climate-fever.flat                                        -        3.6 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-climate-fever.flat.20221116.505594.6e7101f4a5c241ba263bb6a826049826                      
beir-v1.0.0-scifact.flat                                              -        8.4 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-scifact.flat.20221116.505594.59777038fe0539e600658591e322ea57                            
beir-v1.0.0-trec-covid.multifield                                     -      212.5 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-trec-covid.multifield.20221116.505594.0439617a927a33727c7b592bd436d8d6                   
beir-v1.0.0-bioasq.multifield                                         -       23.6 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-bioasq.multifield.20221116.505594.b2f4fed18b04414193f8368b6891e19c                       
beir-v1.0.0-nfcorpus.multifield                                       -        6.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-nfcorpus.multifield.20221116.505594.85cdcceaf06c482ab6a60c34c06c0448                     
beir-v1.0.0-nq.multifield                                             -        1.5 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-nq.multifield.20221116.505594.73b3e3c49c2d79a2851c1ba85f8fbbdf                           
beir-v1.0.0-hotpotqa.multifield                                       -        1.9 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-hotpotqa.multifield.20221116.505594.1d9f75122d4b50cb33cccaa125640a38                     
beir-v1.0.0-fiqa.multifield                                           -       53.4 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-fiqa.multifield.20221116.505594.1c9330baf3d9004ae46778d4d9e039f6                         
beir-v1.0.0-signal1m.multifield                                       -      473.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-signal1m.multifield.20221116.505594.0735de4f103330975d206285ea85aaf5                     
beir-v1.0.0-trec-news.multifield                                      -        2.5 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-trec-news.multifield.20221116.505594.a7b5bd79d22d3631dffcad2ffa8afd0a                    
beir-v1.0.0-robust04.multifield                                       -        1.6 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-robust04.multifield.20221116.505594.49db6bf123b6224d0e0973a16ff9c243                     
beir-v1.0.0-arguana.multifield                                        -       10.0 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-arguana.multifield.20221116.505594.895b0d78a1cc40222aaebcff10b6b929                      
beir-v1.0.0-webis-touche2020.multifield                               -      716.0 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-webis-touche2020.multifield.20221116.505594.390552c8b93dc95bf2f58808d1c8a37d             
beir-v1.0.0-cqadupstack-android.multifield                            -       17.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-android.multifield.20221116.505594.299fc8b542dabc241320db571b8f8ff0          
beir-v1.0.0-cqadupstack-english.multifield                            -       24.4 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-english.multifield.20221116.505594.5bb26ad0ba9184592b5ed935e65b5f17          
beir-v1.0.0-cqadupstack-gaming.multifield                             -       28.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-gaming.multifield.20221116.505594.90d1ae9a1862b8b96871b9b94cc46b4e           
beir-v1.0.0-cqadupstack-gis.multifield                                -       42.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-gis.multifield.20221116.505594.62869b2b6cf569424fed659adf1e5ea7              
beir-v1.0.0-cqadupstack-mathematica.multifield                        -       20.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-mathematica.multifield.20221116.505594.a78c9d2e29a4b727fbeb38e825629df5      
beir-v1.0.0-cqadupstack-physics.multifield                            -       36.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-physics.multifield.20221116.505594.d6e60e2665c1b6f2bac021dc6c767393          
beir-v1.0.0-cqadupstack-programmers.multifield                        -       39.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-programmers.multifield.20221116.505594.77b54cd7613b555d80998b9744eef85c      
beir-v1.0.0-cqadupstack-stats.multifield                              -       50.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-stats.multifield.20221116.505594.8469917c70c767ea398ec2b93aaf04ca            
beir-v1.0.0-cqadupstack-tex.multifield                                -       88.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-tex.multifield.20221116.505594.4d0b0efb2579e0fd73b9156921580a00              
beir-v1.0.0-cqadupstack-unix.multifield                               -       52.2 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-unix.multifield.20221116.505594.33e2510bb1414ca106766ae787e28670             
beir-v1.0.0-cqadupstack-webmasters.multifield                         -       14.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-webmasters.multifield.20221116.505594.cb16d3da34b6705747ec07ce89913457       
beir-v1.0.0-cqadupstack-wordpress.multifield                          -       53.2 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-wordpress.multifield.20221116.505594.f619c003e2d0cf84794cc672e18e0437        
beir-v1.0.0-quora.multifield                                          -       50.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-quora.multifield.20221116.505594.9248de265c88afc105231659d8c8be09                        
beir-v1.0.0-dbpedia-entity.multifield                                 -        2.0 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-dbpedia-entity.multifield.20221116.505594.b7f0ae30f045188a608cc87553cade37               
beir-v1.0.0-scidocs.multifield                                        -      167.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-scidocs.multifield.20221116.505594.6409f5ec569530fc3240590dab59bc4c                      
beir-v1.0.0-fever.multifield                                          -        3.7 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-fever.multifield.20221116.505594.841908da91e7e5eaa0d122faf1a486d8                        
beir-v1.0.0-climate-fever.multifield                                  -        3.7 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-climate-fever.multifield.20221116.505594.2901ac443ca4f0df424a35d068905829                
beir-v1.0.0-scifact.multifield                                        -        8.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-scifact.multifield.20221116.505594.b40b26f44f68ab9aa4b573aafea27e2e                      
beir-v1.0.0-trec-covid.splade-v3                                      -       70.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-trec-covid.splade-v3.20250603.168a2d.b0a77584640e698c2d460b7898b3158f                    
beir-v1.0.0-bioasq.splade-v3                                          -        6.7 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-bioasq.splade-v3.20250603.168a2d.3a1229c0451000f129f8c35f9cac5fc3                        
beir-v1.0.0-nfcorpus.splade-v3                                        -        1.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-nfcorpus.splade-v3.20250603.168a2d.5ad00a7ca5206b02b226520f21ec4695                      
beir-v1.0.0-nq.splade-v3                                              -      959.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-nq.splade-v3.20250603.168a2d.52c51567831b098020c8f6eddc05d56d                            
beir-v1.0.0-hotpotqa.splade-v3                                        -        1.5 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-hotpotqa.splade-v3.20250603.168a2d.55d5635f4af0979d880daa3e8a361440                      
beir-v1.0.0-fiqa.splade-v3                                            -       24.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-fiqa.splade-v3.20250603.168a2d.336b97025e03b8c455f01761569e98df                          
beir-v1.0.0-signal1m.splade-v3                                        -      629.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-signal1m.splade-v3.20250603.168a2d.c16b77fc85dfdd83fad79a7711753000                      
beir-v1.0.0-trec-news.splade-v3                                       -      390.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-trec-news.splade-v3.20250603.168a2d.f0644e91ad9db51f98cd8ff3d7722e06                     
beir-v1.0.0-robust04.splade-v3                                        -      305.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-robust04.splade-v3.20250603.168a2d.01b2fcf50137a89ed33467c17072f0e8                      
beir-v1.0.0-arguana.splade-v3                                         -        4.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-arguana.splade-v3.20250603.168a2d.a4133b22f6f7c8cb2340b8b90ed8cf5c                       
beir-v1.0.0-webis-touche2020.splade-v3                                -      173.2 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-webis-touche2020.splade-v3.20250603.168a2d.34587c647bbddcddcb7716de9b7bf792              
beir-v1.0.0-cqadupstack-android.splade-v3                             -        6.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-android.splade-v3.20250603.168a2d.2f95ef805b0df49b221288a67cfae80b           
beir-v1.0.0-cqadupstack-english.splade-v3                             -       11.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-english.splade-v3.20250603.168a2d.70c93304e4a68f023da967abf56c1e1d           
beir-v1.0.0-cqadupstack-gaming.splade-v3                              -       13.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-gaming.splade-v3.20250603.168a2d.ae8edc3aba66d89de8aa4a7aa2469b24            
beir-v1.0.0-cqadupstack-gis.splade-v3                                 -       13.0 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-gis.splade-v3.20250603.168a2d.01e3065460f48656457a25bb263f7f3c               
beir-v1.0.0-cqadupstack-mathematica.splade-v3                         -        6.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-mathematica.splade-v3.20250603.168a2d.06cff58c8240307a22275be3893a567e       
beir-v1.0.0-cqadupstack-physics.splade-v3                             -       12.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-physics.splade-v3.20250603.168a2d.77ee8962b8e5e494241a2466ac32d4be           
beir-v1.0.0-cqadupstack-programmers.splade-v3                         -       12.0 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-programmers.splade-v3.20250603.168a2d.c477ae89be665aaf673cdc6db1f23b01       
beir-v1.0.0-cqadupstack-stats.splade-v3                               -       15.2 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-stats.splade-v3.20250603.168a2d.7133fed6919c6cb6b848b8e2d0d44c82             
beir-v1.0.0-cqadupstack-tex.splade-v3                                 -       29.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-tex.splade-v3.20250603.168a2d.cd3d2ed2aeb31a088969165fb574f76a               
beir-v1.0.0-cqadupstack-unix.splade-v3                                -       15.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-unix.splade-v3.20250603.168a2d.a6a1b1e2c3808ed4d5860251f1576f69              
beir-v1.0.0-cqadupstack-webmasters.splade-v3                          -        5.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-webmasters.splade-v3.20250603.168a2d.36878f744bc0ed64c3e0aab164d52070        
beir-v1.0.0-cqadupstack-wordpress.splade-v3                           -       16.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-wordpress.splade-v3.20250603.168a2d.1a84b32335542036098daff2be27df15         
beir-v1.0.0-quora.splade-v3                                           -       41.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-quora.splade-v3.20250603.168a2d.56bf5c7d42228a38e4edc3d50715f9f4                         
beir-v1.0.0-dbpedia-entity.splade-v3                                  -        1.5 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-dbpedia-entity.splade-v3.20250603.168a2d.b8e9ea5b22afe522c5f3cb0bae992687                
beir-v1.0.0-scidocs.splade-v3                                         -       13.5 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-scidocs.splade-v3.20250603.168a2d.2e5ac116e11f6db12af8f57b38e1f520                       
beir-v1.0.0-fever.splade-v3                                           -        1.8 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-fever.splade-v3.20250603.168a2d.00914f9f0a5b1847fbed5492c0a9d258                         
beir-v1.0.0-climate-fever.splade-v3                                   -        1.8 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-climate-fever.splade-v3.20250603.168a2d.abcf3c52400c0e67c5e62d6ce936e25e                 
beir-v1.0.0-scifact.splade-v3                                         -        2.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-scifact.splade-v3.20250603.168a2d.90c5b05076c0f522c34aa29fe51e7972                       
beir-v1.0.0-trec-covid.bge-base-en-v1.5.flat                          -      506.5 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-trec-covid.bge-base-en-v1.5.20260425.bb3d65.tar.45bf4a037c0ad66727fed9ed1709a1d3             
beir-v1.0.0-bioasq.bge-base-en-v1.5.flat                              -       43.0 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-bioasq.bge-base-en-v1.5.20260425.bb3d65.tar.1a502f827e447c544354dff9f0a22425                 
beir-v1.0.0-nfcorpus.bge-base-en-v1.5.flat                            -       10.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-nfcorpus.bge-base-en-v1.5.20260425.bb3d65.tar.edd980324023746dd22d723f63dafab1               
beir-v1.0.0-nq.bge-base-en-v1.5.flat                                  -        7.7 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-nq.bge-base-en-v1.5.20260425.bb3d65.tar.a62f94f737c614c8f19675e251abaa3b                     
beir-v1.0.0-hotpotqa.bge-base-en-v1.5.flat                            -       15.1 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-hotpotqa.bge-base-en-v1.5.20260425.bb3d65.tar.f910392a2d87c9c15f87634782daed72               
beir-v1.0.0-fiqa.bge-base-en-v1.5.flat                                -      170.0 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-fiqa.bge-base-en-v1.5.20260425.bb3d65.tar.d8239242a8c0da309e5921172c2d3651                   
beir-v1.0.0-signal1m.bge-base-en-v1.5.flat                            -        8.3 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-signal1m.bge-base-en-v1.5.20260425.bb3d65.tar.6227d86da8f12ab2a29e6f597c519a20               
beir-v1.0.0-trec-news.bge-base-en-v1.5.flat                           -        1.8 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-trec-news.bge-base-en-v1.5.20260425.bb3d65.tar.70a6dc3dba85a6b4a44c3562db21d3a4              
beir-v1.0.0-robust04.bge-base-en-v1.5.flat                            -        1.5 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-robust04.bge-base-en-v1.5.20260425.bb3d65.tar.ced86286db3899a3fc8c865d8ef9bf39               
beir-v1.0.0-arguana.bge-base-en-v1.5.flat                             -       25.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-arguana.bge-base-en-v1.5.20260425.bb3d65.tar.d5a34c972b07b16394a5495fe5a41004                
beir-v1.0.0-webis-touche2020.bge-base-en-v1.5.flat                    -        1.1 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-webis-touche2020.bge-base-en-v1.5.20260425.bb3d65.tar.09830ab08d175bb7cf60d1d5f1514134       
beir-v1.0.0-cqadupstack-android.bge-base-en-v1.5.flat                 -       67.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-android.bge-base-en-v1.5.20260425.bb3d65.tar.37ba502ffe326feec94bc5d9af2d759d    
beir-v1.0.0-cqadupstack-english.bge-base-en-v1.5.flat                 -      118.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-english.bge-base-en-v1.5.20260425.bb3d65.tar.a5ebe9bc73207a090c461fc4b7d1061b    
beir-v1.0.0-cqadupstack-gaming.bge-base-en-v1.5.flat                  -      133.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-gaming.bge-base-en-v1.5.20260425.bb3d65.tar.983ccd2f675e4ea08633573145921978     
beir-v1.0.0-cqadupstack-gis.bge-base-en-v1.5.flat                     -      111.0 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-gis.bge-base-en-v1.5.20260425.bb3d65.tar.215b15b95af007cd2a1429c5c6e1bdaa        
beir-v1.0.0-cqadupstack-mathematica.bge-base-en-v1.5.flat             -       49.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-mathematica.bge-base-en-v1.5.20260425.bb3d65.tar.27127a3a8cae9f5ce9d473510be72b02
beir-v1.0.0-cqadupstack-physics.bge-base-en-v1.5.flat                 -      113.0 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-physics.bge-base-en-v1.5.20260425.bb3d65.tar.4126d9bb148a2e95c8df4056ce42720d    
beir-v1.0.0-cqadupstack-programmers.bge-base-en-v1.5.flat             -       94.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-programmers.bge-base-en-v1.5.20260425.bb3d65.tar.218a3f3068d554738b38b4ee275c0763
beir-v1.0.0-cqadupstack-stats.bge-base-en-v1.5.flat                   -      124.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-stats.bge-base-en-v1.5.20260425.bb3d65.tar.bbb1941163836b0ec98686db2d461784      
beir-v1.0.0-cqadupstack-tex.bge-base-en-v1.5.flat                     -      201.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-tex.bge-base-en-v1.5.20260425.bb3d65.tar.fbc8101cb6408cb41c443218c26d1232        
beir-v1.0.0-cqadupstack-unix.bge-base-en-v1.5.flat                    -      139.7 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-unix.bge-base-en-v1.5.20260425.bb3d65.tar.2ea67a1edb1abc1786d00c3c935c2183       
beir-v1.0.0-cqadupstack-webmasters.bge-base-en-v1.5.flat              -       51.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-webmasters.bge-base-en-v1.5.20260425.bb3d65.tar.9c6a175458515d600e5dc934d3c88bcb 
beir-v1.0.0-cqadupstack-wordpress.bge-base-en-v1.5.flat               -      143.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-cqadupstack-wordpress.bge-base-en-v1.5.20260425.bb3d65.tar.2d076a4ed3fb37fd16e915b0eb2b7af5  
beir-v1.0.0-quora.bge-base-en-v1.5.flat                               -        1.5 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-quora.bge-base-en-v1.5.20260425.bb3d65.tar.4a1b46197efc62bf2da54b466af68f4e                  
beir-v1.0.0-dbpedia-entity.bge-base-en-v1.5.flat                      -       13.6 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-dbpedia-entity.bge-base-en-v1.5.20260425.bb3d65.tar.6769e0d47dcf814c3af666639e85ec59         
beir-v1.0.0-scidocs.bge-base-en-v1.5.flat                             -       78.2 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-scidocs.bge-base-en-v1.5.20260425.bb3d65.tar.b827df490771df72707887428d31a229                
beir-v1.0.0-fever.bge-base-en-v1.5.flat                               -       15.8 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-fever.bge-base-en-v1.5.20260425.bb3d65.tar.2506f3b3d5b4a6738fd142dec77729e2                  
beir-v1.0.0-climate-fever.bge-base-en-v1.5.flat                       -       15.8 GB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-climate-fever.bge-base-en-v1.5.20260425.bb3d65.tar.d2873c04923702539757b860b34fd615          
beir-v1.0.0-scifact.bge-base-en-v1.5.flat                             -       15.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-flat.beir-v1.0.0-scifact.bge-base-en-v1.5.20260425.bb3d65.tar.52ea8c6007ce525f6dd28172c4a6400c                
total                                                           19.8 MB      227.9 GB  -                                                                                                                                                        

Total size across 2 of 116 indexes: 19.8 MB

# Running condition "flat": BM25, flat bag-of-words baseline 

  - topic_key: trec-covid

